date,new_cases,total_cases
2020-02-11,1,1
2020-02-12,0,1
2020-02-13,0,1
2020-02-14,0,1
2020-02-15,0,1
2020-02-16,0,1
2020-02-17,0,1
2020-02-18,0,1
2020-02-19,0,1
2020-02-20,0,1
2020-02-21,0,1
2020-02-22,0,1
2020-02-23,0,1
2020-02-24,1,2
2020-02-25,3,5
2020-02-26,2,7
2020-02-27,2,9
2020-02-28,3,12
2020-02-29,1,13
2020-03-01,4,17
2020-03-02,12,29
2020-03-03,6,35
2020-03-04,18,53
2020-03-05,14,67
2020-03-06,24,91
2020-03-07,15,106
2020-03-08,22,128
2020-03-09,53,181
2020-03-10,92,273
2020-03-11,183,456
2020-03-12,164,620
2020-03-13,135,755
2020-03-14,150,905
2020-03-15,165,1070
2020-03-16,233,1303
2020-03-17,311,1614
2020-03-18,355,1969
2020-03-19,332,2301
2020-03-20,426,2727
2020-03-21,350,3077
2020-03-22,437,3514
2020-03-23,687,4201
2020-03-24,633,4834
2020-03-25,760,5594
2020-03-26,766,6360
2020-03-27,817,7177
2020-03-28,576,7753
2020-03-29,598,8351
2020-03-30,867,9218
2020-03-31,935,10153
2020-04-01,979,11132
2020-04-02,1070,12202
2020-04-03,981,13183
2020-04-04,767,13950
2020-04-05,633,14583
2020-04-06,857,15440
2020-04-07,950,16390
2020-04-08,874,17264
2020-04-09,800,18064
2020-04-10,619,18683
2020-04-11,519,19202
2020-04-12,501,19703
2020-04-13,596,20299
2020-04-14,595,20894
2020-04-15,659,21553
2020-04-16,574,22127
2020-04-17,580,22707
2020-04-18,400,23107
2020-04-19,395,23502
2020-04-20,431,23933
2020-04-21,466,24399
2020-04-22,399,24798
2020-04-23,520,25318
2020-04-24,377,25695
2020-04-25,333,26028
2020-04-26,311,26339
2020-04-27,418,26757
2020-04-28,312,27069
2020-04-29,428,27497
2020-04-30,424,27921
2020-05-01,354,28275
2020-05-02,247,28522
2020-05-03,167,28689
2020-05-04,248,28937
2020-05-05,216,29153
2020-05-06,266,29419
2020-05-07,273,29692
2020-05-08,206,29898
2020-05-09,128,30026
2020-05-10,126,30152
2020-05-11,162,30314
2020-05-12,195,30509
2020-05-13,204,30713
2020-05-14,158,30871
2020-05-15,132,31003
2020-05-16,74,31077
2020-05-17,78,31155
2020-05-18,113,31268
2020-05-19,129,31397
2020-05-20,141,31538
2020-05-21,157,31695
2020-05-22,82,31777
2020-05-23,65,31842
2020-05-24,50,31892
2020-05-25,57,31949
2020-05-26,66,32015
2020-05-27,85,32100
2020-05-28,75,32175
2020-05-29,56,32231
2020-05-30,39,32270
2020-05-31,38,32308
2020-06-01,49,32357
2020-06-02,49,32406
2020-06-03,79,32485
2020-06-04,57,32542
2020-06-05,45,32587
2020-06-06,47,32634
2020-06-07,45,32679
2020-06-08,57,32736
2020-06-09,71,32807
2020-06-10,52,32859
2020-06-11,47,32906
2020-06-12,53,32959
2020-06-13,39,32998
2020-06-14,31,33029
2020-06-15,41,33070
2020-06-16,47,33117
2020-06-17,42,33159
2020-06-18,46,33205
2020-06-19,37,33242
2020-06-20,29,33271
2020-06-21,27,33298
2020-06-22,51,33349
2020-06-23,49,33398
2020-06-24,46,33444
2020-06-25,57,33501
2020-06-26,48,33549
2020-06-27,32,33581
2020-06-28,22,33603
2020-06-29,58,33661
2020-06-30,52,33713
2020-07-01,42,33755
2020-07-02,40,33795
2020-07-03,38,33833
2020-07-04,32,33865
2020-07-05,51,33916
2020-07-06,54,33970
2020-07-07,60,34030
2020-07-08,57,34087
2020-07-09,54,34141
2020-07-10,41,34182
2020-07-11,20,34202
2020-07-12,38,34240
2020-07-13,85,34325
2020-07-14,62,34387
2020-07-15,76,34463
2020-07-16,70,34533
2020-07-17,48,34581
2020-07-18,47,34628
2020-07-19,41,34669
2020-07-20,97,34766
2020-07-21,81,34847
2020-07-22,80,34927
2020-07-23,70,34997
2020-07-24,83,35080
2020-07-25,56,35136
2020-07-26,65,35201
2020-07-27,100,35301
2020-07-28,100,35401
2020-07-29,99,35500
2020-07-30,102,35602
2020-07-31,73,35675
2020-08-01,58,35733
2020-08-02,75,35808
2020-08-03,87,35895
2020-08-04,104,35999
2020-08-05,113,36112
2020-08-06,104,36216
2020-08-07,122,36338
2020-08-08,55,36393
2020-08-09,67,36460
2020-08-10,143,36603
2020-08-11,149,36752
2020-08-12,160,36912
2020-08-13,124,37036
2020-08-14,126,37162
2020-08-15,106,37268
2020-08-16,88,37356
2020-08-17,189,37545
2020-08-18,181,37726
2020-08-19,151,37877
2020-08-20,204,38081
2020-08-21,166,38247
2020-08-22,119,38366
2020-08-23,144,38510
2020-08-24,195,38705
2020-08-25,171,38876
2020-08-26,164,39040
2020-08-27,229,39269
2020-08-28,221,39490
2020-08-29,139,39629
2020-08-30,133,39762
2020-08-31,216,39978
2020-09-01,314,40292
2020-09-02,333,40625
2020-09-03,348,40973
2020-09-04,355,41328
2020-09-05,270,41598
2020-09-06,205,41803
2020-09-07,463,42266
2020-09-08,342,42608
2020-09-09,344,42952
2020-09-10,391,43343
2020-09-11,331,43674
2020-09-12,229,43903
2020-09-13,112,44015
2020-09-14,297,44312
2020-09-15,270,44582
2020-09-16,292,44874
2020-09-17,323,45197
2020-09-18,386,45583
2020-09-19,338,45921
2020-09-20,409,46330
2020-09-21,427,46757
2020-09-22,518,47275
2020-09-23,657,47932
2020-09-24,599,48531
2020-09-25,602,49133
2020-09-26,548,49681
2020-09-27,528,50209
2020-09-28,742,50951
2020-09-29,700,51651
2020-09-30,988,52639
2020-10-01,1071,53710
2020-10-02,1037,54747
2020-10-03,791,55538
