,Date,England,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
0,2020-03-01,0,0,0,0,0,0,0,0
1,2020-03-02,1,1,0,0,0,0,0,0
2,2020-03-03,2,0,0,1,0,0,1,0
3,2020-03-04,0,0,0,0,0,0,0,0
4,2020-03-05,2,0,0,0,0,1,1,0
5,2020-03-06,2,1,1,0,0,0,0,0
6,2020-03-07,0,0,0,0,0,0,0,0
7,2020-03-08,4,0,0,2,0,1,1,0
8,2020-03-09,4,1,1,1,0,0,1,0
9,2020-03-10,1,0,0,0,0,0,1,0
10,2020-03-11,9,0,5,2,0,0,1,1
11,2020-03-12,14,0,6,6,0,2,0,0
12,2020-03-13,20,1,10,5,0,3,1,0
13,2020-03-14,22,2,13,4,0,1,1,1
14,2020-03-15,27,2,9,5,2,4,5,0
15,2020-03-16,40,1,15,11,3,2,8,0
16,2020-03-17,46,1,23,8,1,4,7,2
17,2020-03-18,66,5,28,13,2,6,10,2
18,2020-03-19,63,4,25,8,6,7,9,4
19,2020-03-20,105,2,44,28,5,10,13,3
20,2020-03-21,104,11,49,13,6,11,7,7
21,2020-03-22,149,12,54,31,7,13,25,7
22,2020-03-23,159,11,63,33,9,15,20,8
23,2020-03-24,204,19,86,41,8,21,22,7
24,2020-03-25,263,26,112,48,18,21,29,9
25,2020-03-26,326,36,130,64,21,29,35,11
26,2020-03-27,353,38,130,72,28,36,36,13
27,2020-03-28,360,28,123,89,35,28,36,21
28,2020-03-29,437,43,145,92,38,46,55,18
29,2020-03-30,499,46,151,90,64,67,58,23
30,2020-03-31,576,70,183,123,60,52,65,23
31,2020-04-01,645,63,202,140,67,86,66,21
32,2020-04-02,647,65,191,142,75,96,55,23
33,2020-04-03,702,80,199,124,100,95,73,31
34,2020-04-04,778,71,231,151,105,98,80,42
35,2020-04-05,743,76,195,164,92,102,82,32
36,2020-04-06,727,71,198,140,96,100,88,34
37,2020-04-07,813,93,220,123,102,136,100,39
38,2020-04-08,900,111,239,186,107,127,83,47
39,2020-04-09,792,87,207,140,111,119,104,24
40,2020-04-10,740,74,171,127,117,117,88,46
41,2020-04-11,780,92,178,142,98,139,88,43
42,2020-04-12,718,100,159,139,84,125,88,23
43,2020-04-13,701,78,166,121,94,130,84,28
44,2020-04-14,646,61,143,116,107,130,65,24
45,2020-04-15,686,82,143,147,96,114,72,32
46,2020-04-16,639,74,140,102,103,135,56,29
47,2020-04-17,610,86,101,118,88,98,86,33
48,2020-04-18,571,64,101,115,95,114,57,25
